alg,problema,delta_med,taxa_vit,n_pares,p_wilcoxon_proposta
PC-SAEA,BBOB_F22,-0.02772771673867079,0.4666666666666667,30,0.3598779272288084
PC-SAEA,BBOB_F37,-0.13198885327323595,0.26666666666666666,30,0.00011058151721954346
PC-SAEA,BBOB_F49,-0.021071369518478305,0.43333333333333335,30,0.3492113798856735
PC-SAEA,BBOB_F5,-0.09287582876755171,0.16666666666666666,30,0.0008718203753232956
PC-SAEA,BBOB_F55,-0.2316991289466643,0.3,30,0.13473508320748806
PC-SAEA,DDMOP7,0.00036807287267437406,0.5,30,0.17053194296502794
PC-SAEA,DTLZ1,,0.0,30,
PC-SAEA,DTLZ2,-0.018204888960157418,0.43333333333333335,30,0.6120056137442589
PC-SAEA,DTLZ3,,0.0,30,
PC-SAEA,DTLZ4,-0.5384244257197774,0.13333333333333333,30,6.889239794405568e-05
PC-SAEA,DTLZ7,-1.0,0.0,30,
PC-SAEA,ESTOQUE40,-0.004279097708650586,0.4074074074074074,27,0.3483276069164276
PC-SAEA,MMF1,0.004198505992067773,0.5666666666666667,30,0.17719271034002304
PC-SAEA,MMF11_L,-0.02892141486681167,0.13333333333333333,30,0.00011058151721954346
PC-SAEA,MMF16_20,0.032762383187184815,0.8666666666666667,30,2.0489096641540527e-07
PC-SAEA,MMF4,0.00454517220355684,0.5333333333333333,30,0.7765688337385654
PC-SAEA,RE21,-0.027174158558759685,0.17857142857142858,28,0.0007921457290649414
PC-SAEA,WFG1,-0.12199460132468185,0.1,30,0.0020201820880174637
PC-SAEA,WFG2,-0.08991688113174973,0.0,30,1.862645149230957e-09
PC-SAEA,WFG4,-0.07411793225446164,0.0,30,1.862645149230957e-09
PC-SAEA,WFG5,-0.1557975275796568,0.0,30,1.862645149230957e-09
PC-SAEA,WFG9,-0.08766111620122918,0.3,30,0.011303061619400978
PC-SAEA,ZDT1,-0.38564628993369604,0.23333333333333334,30,
PC-SAEA,ZDT3,-0.304083798184171,0.1,30,6.917864084243774e-06
PC-SAEA,ZDT4,,0.0,30,
PC-SAEA,ZDT6,,0.0,30,
EIM,BBOB_F1,0.24543554874195814,1.0,24,1.1920928955078125e-07
EIM,BBOB_F17,-0.02810879094751919,0.0,30,1.862645149230957e-09
EIM,BBOB_F22,0.38489125141731095,0.9473684210526315,19,1.9073486328125e-05
EIM,BBOB_F37,0.09305475374821848,0.7586206896551724,29,0.0008884184062480927
EIM,BBOB_F49,-0.31859976303822185,0.0,30,1.862645149230957e-09
EIM,BBOB_F5,0.5711881521904716,1.0,17,1.52587890625e-05
EIM,BBOB_F55,1.4419287469303113,0.9166666666666666,24,1.1920928955078125e-06
EIM,DDMOP7,0.0,0.3,30,0.010573639737654742
EIM,DTLZ1,,0.0,30,
EIM,DTLZ2,0.8780110107239236,1.0,28,7.450580596923828e-09
EIM,DTLZ3,,0.0,28,
EIM,DTLZ4,-1.0,0.17857142857142858,28,0.0013086039744593602
EIM,DTLZ7,56.524384267141556,0.125,24,
EIM,ESTOQUE40,0.15325904127767007,1.0,26,2.9802322387695312e-08
EIM,MMF1,0.006534526068264565,0.6333333333333333,30,0.17059839516878128
EIM,MMF11_L,0.025003614752791482,0.9,30,2.0489096641540527e-07
EIM,MMF16_20,0.07247114519548134,1.0,24,1.1920928955078125e-07
EIM,MMF4,0.05267978029854614,0.9666666666666667,30,3.725290298461914e-09
EIM,RE21,0.12632844252657321,1.0,28,7.450580596923828e-09
EIM,WFG1,-0.48747039570836426,0.0,24,1.1920928955078125e-07
EIM,WFG2,-0.07486140596282961,0.041666666666666664,24,2.2649765014648438e-06
