prob,tag,it,i,j,mapa,rel,exato
MMF11_L,s42,7,1,2,decl,2.72491955095103e-12,False
MMF11_L,s42,7,1,2,naive,2.72491955095103e-12,False
MMF11_L,s42,7,1,5,decl,4.2893218515544745e-13,False
MMF11_L,s42,7,1,5,naive,4.2893218515544745e-13,False
MMF11_L,s42,7,2,5,decl,2.2959873657965675e-12,False
MMF11_L,s42,7,2,5,naive,2.2959873657965675e-12,False
MMF11_L,s42,7,3,9,decl,7.829838732657083e-13,False
MMF11_L,s42,7,3,9,naive,7.829838732657083e-13,False
MMF11_L,s42,7,4,7,decl,4.093081702835166e-12,False
MMF11_L,s42,7,4,7,naive,4.093081702835166e-12,False
MMF11_L,s42,7,4,8,decl,5.818513144132937e-12,False
MMF11_L,s42,7,4,8,naive,5.818513144132937e-12,False
MMF11_L,s42,7,7,8,decl,1.7254314413048326e-12,False
MMF11_L,s42,7,7,8,naive,1.7254314413048326e-12,False
MMF11_L,s42,8,0,9,decl,2.6070343485412417e-12,False
MMF11_L,s42,8,0,9,naive,2.6070343485412417e-12,False
MMF11_L,s42,8,1,5,decl,6.733986325789308e-12,False
MMF11_L,s42,8,1,5,naive,6.733986325789308e-12,False
MMF11_L,s42,9,0,1,decl,3.859383873538673e-12,False
MMF11_L,s42,9,0,1,naive,3.859383873538673e-12,False
MMF11_L,s42,9,0,3,decl,1.2006057721733314e-11,False
MMF11_L,s42,9,0,3,naive,1.2006057721733314e-11,False
MMF11_L,s42,9,0,5,decl,3.1599219774815576e-12,False
MMF11_L,s42,9,0,5,naive,3.1599219774815576e-12,False
MMF11_L,s42,9,0,8,decl,4.756340893186124e-13,False
MMF11_L,s42,9,0,8,naive,4.756340893186124e-13,False
MMF11_L,s42,9,0,9,decl,1.6858403188861904e-12,False
MMF11_L,s42,9,0,9,naive,1.6858403188861904e-12,False
MMF11_L,s42,9,1,3,decl,8.146673848226082e-12,False
MMF11_L,s42,9,1,3,naive,8.146673848226082e-12,False
MMF11_L,s42,9,1,5,decl,6.994618960593259e-13,False
MMF11_L,s42,9,1,5,naive,6.994618960593259e-13,False
MMF11_L,s42,9,1,8,decl,4.33501796285545e-12,False
MMF11_L,s42,9,1,8,naive,4.33501796285545e-12,False
MMF11_L,s42,9,1,9,decl,5.545224192418358e-12,False
MMF11_L,s42,9,1,9,naive,5.545224192418358e-12,False
MMF11_L,s42,9,2,7,decl,2.839584398755198e-12,False
MMF11_L,s42,9,2,7,naive,2.839584398755198e-12,False
MMF11_L,s42,9,3,5,decl,8.84613574427971e-12,False
MMF11_L,s42,9,3,5,naive,8.84613574427971e-12,False
MMF11_L,s42,9,3,8,decl,1.2481691811046216e-11,False
MMF11_L,s42,9,3,8,naive,1.2481691811046216e-11,False
MMF11_L,s42,9,3,9,decl,1.3691898040599264e-11,False
MMF11_L,s42,9,3,9,naive,1.3691898040599264e-11,False
MMF11_L,s42,9,5,8,decl,3.635556066798667e-12,False
MMF11_L,s42,9,5,8,naive,3.635556066798667e-12,False
MMF11_L,s42,9,5,9,decl,4.845762296362421e-12,False
MMF11_L,s42,9,5,9,naive,4.845762296362421e-12,False
MMF11_L,s42,9,8,9,decl,1.2102062295681536e-12,False
MMF11_L,s42,9,8,9,naive,1.2102062295681536e-12,False
MMF11_L,s42,11,0,5,decl,5.131206124156029e-12,False
MMF11_L,s42,11,0,5,naive,5.131206124156029e-12,False
MMF11_L,s42,11,8,9,decl,1.0173901477257264e-13,False
MMF11_L,s42,11,8,9,naive,1.0173901477257264e-13,False
MMF11_L,s42,12,3,5,decl,4.833363099561371e-12,False
MMF11_L,s42,12,3,5,naive,4.833363099561371e-12,False
MMF11_L,s42,12,3,7,decl,1.0521575313230057e-11,False
MMF11_L,s42,12,3,7,naive,1.0521575313230057e-11,False
MMF11_L,s42,12,5,7,decl,5.688212213696179e-12,False
MMF11_L,s42,12,5,7,naive,5.688212213696179e-12,False
MMF11_L,s42,14,3,7,decl,9.815815038880234e-12,False
MMF11_L,s42,14,3,7,naive,9.815815038880234e-12,False
MMF11_L,s42,15,2,5,decl,0.0,True
MMF11_L,s42,15,2,5,naive,0.0,True
MMF11_L,s42,15,2,7,decl,0.0,True
MMF11_L,s42,15,2,7,naive,0.0,True
MMF11_L,s42,15,2,9,decl,2.695325886892481e-13,False
MMF11_L,s42,15,2,9,naive,2.695325886892481e-13,False
MMF11_L,s42,15,5,7,decl,0.0,True
MMF11_L,s42,15,5,7,naive,0.0,True
MMF11_L,s42,15,5,9,decl,2.695325886892481e-13,False
MMF11_L,s42,15,5,9,naive,2.695325886892481e-13,False
MMF11_L,s42,15,7,9,decl,2.695325886892481e-13,False
MMF11_L,s42,15,7,9,naive,2.695325886892481e-13,False
MMF11_L,s42,16,3,5,decl,1.457916495629212e-10,False
MMF11_L,s42,16,3,5,naive,1.457916495629212e-10,False
MMF11_L,s42,17,0,6,decl,2.8037782345000206e-11,False
MMF11_L,s42,17,0,6,naive,0.3725494889798404,False
MMF11_L,s42,17,3,7,decl,1.2067027459650786e-11,False
MMF11_L,s42,17,3,7,naive,0.09209793372411061,False
MMF11_L,s42,18,3,7,decl,1.928184947492775e-11,False
MMF11_L,s42,18,3,7,naive,0.014948193541571802,False
MMF11_L,s42,18,3,9,decl,4.3921151432298845e-11,False
MMF11_L,s42,18,3,9,naive,0.2847223474331644,False
MMF11_L,s42,18,7,9,decl,2.4639301957846184e-11,False
MMF11_L,s42,18,7,9,naive,0.2738679855443499,False
MMF11_L,s42,19,4,9,decl,0.0,True
MMF11_L,s42,19,4,9,naive,0.28200622134749864,False
MMF11_L,s42,20,2,8,decl,1.761553355375211e-11,False
MMF11_L,s42,20,2,8,naive,0.4274021430190884,False
MMF11_L,s42,20,2,9,decl,2.5594082471072574e-12,False
MMF11_L,s42,20,2,9,naive,0.5134134951085678,False
MMF11_L,s42,20,3,7,decl,4.4377673792552545e-11,False
MMF11_L,s42,20,3,7,naive,0.6397170578881696,False
MMF11_L,s42,20,8,9,decl,2.017494180081428e-11,False
MMF11_L,s42,20,8,9,naive,0.1502124938835507,False
MMF11_L,s42,22,4,5,decl,2.8533563271641896e-11,False
MMF11_L,s42,22,4,5,naive,2.8533563271641896e-11,False
MMF11_L,s42,22,4,6,decl,1.3137372484493003e-11,False
MMF11_L,s42,22,4,6,naive,1.3137372484493003e-11,False
MMF11_L,s42,22,5,6,decl,4.167093575576004e-11,False
MMF11_L,s42,22,5,6,naive,4.167093575576004e-11,False
MMF11_L,s42,23,2,3,decl,1.8146846657163246e-11,False
MMF11_L,s42,23,2,3,naive,0.06970067545178422,False
MMF11_L,s42,23,6,8,decl,6.0042041665255425e-12,False
MMF11_L,s42,23,6,8,naive,0.2274792231620906,False
MMF11_L,s42,23,6,9,decl,5.547974301718581e-11,False
MMF11_L,s42,23,6,9,naive,0.31846713474285104,False
MMF11_L,s42,23,8,9,decl,6.148394718337824e-11,False
MMF11_L,s42,23,8,9,naive,0.47350170149098103,False
MMF11_L,s42,26,0,1,decl,0.0,True
MMF11_L,s42,26,0,1,naive,0.0,True
MMF11_L,s42,27,2,8,decl,4.568477734861991e-11,False
MMF11_L,s42,27,2,8,naive,1.0796411799230211e-10,False
MMF11_L,s42,27,2,9,decl,1.0796411799230211e-10,False
MMF11_L,s42,27,2,9,naive,4.568477734861991e-11,False
MMF11_L,s42,27,8,9,decl,1.536488953359897e-10,False
MMF11_L,s42,27,8,9,naive,1.536488953359897e-10,False
MMF11_L,s42,37,0,1,decl,0.0,True
MMF11_L,s42,37,0,1,naive,0.0,True
MMF11_L,s42,37,0,6,decl,0.0,True
MMF11_L,s42,37,0,6,naive,0.14479602398655378,False
MMF11_L,s42,37,0,8,decl,6.993771338273586e-11,False
MMF11_L,s42,37,0,8,naive,0.5294544336395842,False
MMF11_L,s42,37,0,9,decl,0.0,True
MMF11_L,s42,37,0,9,naive,6.993771338273586e-11,False
MMF11_L,s42,37,1,6,decl,0.0,True
MMF11_L,s42,37,1,6,naive,0.14479602398655378,False
MMF11_L,s42,37,1,8,decl,6.993771338273586e-11,False
MMF11_L,s42,37,1,8,naive,0.5294544336395842,False
MMF11_L,s42,37,1,9,decl,0.0,True
MMF11_L,s42,37,1,9,naive,6.993771338273586e-11,False
MMF11_L,s42,37,4,5,decl,0.0,True
MMF11_L,s42,37,4,5,naive,0.22318098769165934,False
MMF11_L,s42,37,6,8,decl,6.993771338273586e-11,False
MMF11_L,s42,37,6,8,naive,0.44978557214633724,False
MMF11_L,s42,37,6,9,decl,0.0,True
MMF11_L,s42,37,6,9,naive,0.14479602392674276,False
MMF11_L,s42,37,8,9,decl,6.993771338273586e-11,False
MMF11_L,s42,37,8,9,naive,0.5294544336066753,False
MMF11_L,s42,38,8,9,decl,4.85347118732922e-11,False
MMF11_L,s42,38,8,9,naive,0.1852172705338863,False
MMF11_L,s42,40,6,9,decl,0.0,True
MMF11_L,s42,40,6,9,naive,0.20520497702751725,False
MMF4,s42,2,2,9,decl,3.619432513898325e-15,False
MMF4,s42,2,2,9,naive,9.414546127817788e-13,False
MMF4,s42,8,0,8,decl,1.0026319405182299e-15,False
MMF4,s42,8,0,8,naive,1.0026319405182299e-15,False
MMF4,s42,9,0,6,decl,7.622567954774107e-14,False
MMF4,s42,9,0,6,naive,0.18434117101027733,False
MMF4,s42,10,3,4,decl,1.1009801477588293e-13,False
MMF4,s42,10,3,4,naive,1.1009801477588293e-13,False
MMF4,s42,10,3,8,decl,1.9362841044431065e-14,False
MMF4,s42,10,3,8,naive,0.4073789397874067,False
MMF4,s42,10,4,8,decl,9.073517373145362e-14,False
MMF4,s42,10,4,8,naive,0.40737893978734147,False
MMF4,s42,11,3,8,decl,6.007298780723702e-14,False
MMF4,s42,11,3,8,naive,0.26815031484920065,False
MMF4,s42,12,5,7,decl,4.1816005895455677e-14,False
MMF4,s42,12,5,7,naive,0.018311467612436003,False
MMF4,s42,15,4,9,decl,8.18206825674503e-14,False
MMF4,s42,15,4,9,naive,0.047193057166560734,False
