prob,ger,obj,noise,outsc,sigma,cob,wape
BBOB_F17,30,1,0.003668730025141686,0.7397810231698634,69.98384857177734,0.9035,0.3695217459860379
BBOB_F17,32,0,0.00016604975129439633,0.10762880424989954,1162496.5,0.989,0.024102004060469365
BBOB_F17,32,1,0.0035899287555690136,0.7503136196204381,69.11787414550781,0.904,0.3680045825878375
BBOB_F17,34,0,0.00014439541196510763,0.10622701896686682,1097872.25,0.988,0.022984230934164084
BBOB_F17,34,1,0.003510742713088599,0.7569469116103396,68.12600708007812,0.9015,0.36726906374901314
BBOB_F17,36,0,0.00014335241934519916,0.1051262418593145,1095348.75,0.989,0.02318657205994914
BBOB_F17,36,1,0.003431526056782073,0.7665995722022032,67.16229248046875,0.899,0.3663611566062258
BBOB_F17,38,0,0.0001294969195311178,0.10553804272345946,1047614.5,0.988,0.02239476927916903
BBOB_F17,38,1,0.0033802641775188755,0.7710903939574191,66.22604370117188,0.896,0.3657832980594735
BBOB_F17,40,0,0.00012440793104470213,0.10556410461851376,1024958.5,0.9875,0.02212284423320214
BBOB_F17,40,1,0.0033653148919024173,0.7700014415002818,65.68982696533203,0.8965,0.36469383360402874
BBOB_F17,42,0,0.0001285631201068611,0.10832583694255973,1073114.5,0.988,0.02331916490249389
BBOB_F17,42,1,0.0032295789993474237,0.7793147281392506,64.847412109375,0.8945,0.36382406014041635
BBOB_F17,44,0,0.00010626673783004737,0.10489706647104931,986435.125,0.9875,0.02158768918674351
BBOB_F17,44,1,0.0031830106719574623,0.7838029514016213,64.04368591308594,0.892,0.36359397506914753
BBOB_F17,46,0,0.00010838290782580327,0.10547238020872615,990102.25,0.988,0.022110887515365732
BBOB_F17,46,1,0.003116195635495309,0.7889758931329554,63.30503845214844,0.889,0.3631738546236412
BBOB_F17,48,0,0.0001,0.1050781631426232,947715.25,0.9875,0.0205896615008751
BBOB_F17,48,1,0.00300348282336243,0.8002868985270913,62.53729248046875,0.888,0.3624300863169265
BBOB_F17,50,0,0.0001,0.10539686885609142,933976.125,0.987,0.020440612250648776
BBOB_F17,50,1,0.0029226318176680055,0.8095889700544906,61.843833923339844,0.885,0.3618343624611435
BBOB_F17,52,0,0.0001,0.10438007192253115,920315.625,0.987,0.02029247967514799
BBOB_F17,52,1,0.0028603297185506036,0.8190522815870986,61.254295349121094,0.8835,0.36032882267743427
BBOB_F17,54,0,0.00020886209398384464,0.14040410517110344,1396621.125,0.9955,0.03057987043392838
BBOB_F17,54,1,0.002774233237379372,0.8289857885148745,60.59034729003906,0.882,0.35955740360311733
BBOB_F17,56,0,0.0001,0.1036772340572717,899927.5625,0.9865,0.019970156252306515
BBOB_F17,56,1,0.0027457969519046966,0.8294973864877042,59.97247314453125,0.8805,0.3587279306844041
BBOB_F17,58,0,0.0001,0.10004694012484183,895046.0,0.984,0.019968792496934312
BBOB_F17,58,1,0.002690136912940463,0.8426687836258275,59.49690246582031,0.88,0.35956490109333766
BBOB_F17,60,0,0.0001,0.10153678762232556,879010.4375,0.985,0.019767536772426205
BBOB_F17,60,1,0.002613811491470511,0.8522151165909877,58.83631896972656,0.878,0.3589158811760904
BBOB_F17,62,0,0.0001,0.10142395888732378,873267.0,0.984,0.019711364609084642
BBOB_F17,62,1,0.0025001140393085732,0.8610146118543037,58.28084945678711,0.8775,0.3584934156076134
BBOB_F17,64,0,0.0001,0.10192696792044599,879975.75,0.9855,0.019813445066202116
BBOB_F17,64,1,0.002398490384837651,0.8707601289487907,57.63272476196289,0.8735,0.3581241305791975
BBOB_F17,66,0,0.0001,0.10247375139417175,846496.75,0.984,0.0193669121382103
BBOB_F17,66,1,0.0023123849563335386,0.8810704092517134,56.982643127441406,0.873,0.3579457936146016
BBOB_F17,68,0,0.0001,0.10256175230371961,841428.5,0.984,0.01920712694233513
BBOB_F17,68,1,0.0022426738668668606,0.8898184736982838,56.45269775390625,0.8705,0.35760803342686925
BBOB_F17,70,0,0.0001,0.10198691817502749,838539.5,0.984,0.019076391473706333
BBOB_F17,70,1,0.0021960500049367786,0.8986301362973936,55.83979034423828,0.868,0.35707119593874354
BBOB_F17,72,0,0.0001,0.10232799237112912,821121.75,0.9835,0.01899756982258889
BBOB_F17,72,1,0.002165922406785816,0.9021420402409677,55.35084533691406,0.8665,0.35738652384390196
BBOB_F17,74,0,0.0001,0.1033102232008865,817575.3125,0.984,0.018806079953969358
