label,problema,tier,dist,g,frac,n_pop,hv_sur,igdp_sur,hv_real,igdp_real,sig_med,rmse,wape
BBOB_F49,BBOB_F49,main,lhs,77,0.08378672470076169,41,1.3210614664234175,0.14199197760396146,0.19088630426660472,0.7439005277212282,14.971202850341797,1099.6661272204635,2.008593735357254
BBOB_F49,BBOB_F49,main,lhs,115,0.1251360174102285,42,1.291759990800853,0.14199197760396146,0.21245098379596783,0.72524844094685,15.214407920837402,1113.3256001316468,2.054908979539314
BBOB_F49,BBOB_F49,main,lhs,154,0.16757344940152338,42,1.2959947712037747,0.14199438655264268,0.19088630426660472,0.7439005277212282,14.871152877807617,1168.999645340762,1.9833955818975404
BBOB_F49,BBOB_F49,main,lhs,192,0.2089227421109902,47,1.307752270245399,0.14199197760396146,0.19088630426660472,0.7439005277212282,14.85299015045166,1179.8185737764131,1.9872989012959674
BBOB_F49,BBOB_F49,main,lhs,230,0.250272034820457,42,1.3010980004280004,0.14200999458266528,0.1936029396752781,0.7420482205180596,14.753320693969727,1180.2182162520037,1.9647876599569893
BBOB_F49,BBOB_F49,main,lhs,268,0.2916213275299238,42,1.2883547553702739,0.14199197760396146,0.19439231036903026,0.7416933263781693,14.632468223571777,1174.946031535436,1.9684152052280883
BBOB_F49,BBOB_F49,main,lhs,307,0.3340587595212187,44,1.2897702144432244,0.14148347003240527,0.18430469349125836,0.7461203538309312,13.936334609985352,1179.7755058008822,1.9659141290382762
BBOB_F49,BBOB_F49,main,lhs,345,0.3754080522306855,45,1.306708630653362,0.14148347003240527,0.18218307050073843,0.7470353812157318,13.647676467895508,1198.0290493063155,1.939523608289921
BBOB_F49,BBOB_F49,main,lhs,383,0.4167573449401523,44,1.3114884626836334,0.14148347003240527,0.18218307050073843,0.7470353812157318,13.144227027893066,1212.0088054231078,1.9259205549630682
BBOB_F49,BBOB_F49,main,lhs,421,0.4581066376496192,47,1.2934397449221156,0.14148347003240527,0.1981423127179042,0.7392325980220167,12.851375579833984,1211.7567770474093,1.9413413959830703
BBOB_F49,BBOB_F49,main,lhs,460,0.500544069640914,45,1.2810126476841566,0.14148347003240527,0.1990638276939959,0.7400515391233914,12.556522369384766,1210.056718377792,1.9130356696974289
BBOB_F49,BBOB_F49,main,lhs,498,0.5418933623503809,43,1.2746738868021246,0.14148347003240527,0.18218307050073843,0.7470353812157318,12.322707176208496,1187.8016073438625,1.9289954323751117
BBOB_F49,BBOB_F49,main,lhs,536,0.5832426550598476,47,1.3170618334980482,0.07791934793790782,0.21887352306632984,0.7188925306498786,12.05078411102295,1191.2710225641656,1.90472049862713
BBOB_F49,BBOB_F49,main,lhs,574,0.6245919477693145,46,1.3785316977043558,0.04662809465123517,0.21840066301076602,0.7179632562479673,11.69713020324707,1171.7075519197094,1.9056644337173942
BBOB_F49,BBOB_F49,main,lhs,613,0.6670293797606094,47,1.3739532039620963,0.04662809465123517,0.21989389097378723,0.7176614560012452,11.554773330688477,1183.253403889496,1.8923161283592995
BBOB_F49,BBOB_F49,main,lhs,651,0.7083786724700761,45,1.3970547310961188,0.04662809465123517,0.2224410285321033,0.717550283161547,11.605146408081055,1180.6455439836598,1.8909565570825166
BBOB_F49,BBOB_F49,main,lhs,689,0.749727965179543,45,1.3945121000309015,0.04662809465123517,0.22707332256289917,0.7119191480709829,11.465764999389648,1182.2639682868466,1.8764620983534277
BBOB_F49,BBOB_F49,main,lhs,727,0.7910772578890098,45,1.367766464516957,0.060605809380043695,0.21052253104434737,0.7268477891492272,11.533984184265137,1186.7977742043388,1.8802399879225877
BBOB_F49,BBOB_F49,main,lhs,766,0.8335146898803046,46,1.3774438911080373,0.06381919056034946,0.199339184685424,0.7380937768228439,11.278547286987305,1187.2450651513238,1.867999327869903
BBOB_F49,BBOB_F49,main,lhs,804,0.8748639825897715,43,1.3773405429576813,0.06381919056034946,0.19895472359010724,0.7352121960653307,11.087576866149902,1186.9327349068517,1.8462919564453302
BBOB_F49,BBOB_F49,main,lhs,842,0.9162132752992383,46,1.3699731086353184,0.06381919056034946,0.19722023540301678,0.7385870606732939,11.096807479858398,1192.091713854602,1.855735690360688
BBOB_F49,BBOB_F49,main,lhs,880,0.9575625680087051,48,1.3830881713875334,0.06381919056034946,0.2012403874800094,0.7328149950862368,11.216034889221191,1195.0486095304402,1.872258495257742
BBOB_F49,BBOB_F49,main,lhs,919,1.0,46,1.3825798435784293,0.06381919056034946,0.2012403874800094,0.7328149950862368,11.117415428161621,1178.331602204435,1.876401187033834
BBOB_F5,BBOB_F5,main,lhs,1,0.0011376564277588168,50,0.03948810046628429,0.7494777053572903,0.04819944966217714,0.7316429388243729,6.967512130737305,97.94550335553576,0.048682037155277975
BBOB_F5,BBOB_F5,main,lhs,37,0.04209328782707622,37,0.9510340640178564,0.05802564542347329,0.6342041434741024,0.1410300518346195,2.218738555908203,133.9781768862247,0.2809989894989136
BBOB_F5,BBOB_F5,main,lhs,74,0.08418657565415244,44,0.938164009225075,0.05722847698867256,0.6103375891765632,0.1576607514390237,2.1731836795806885,147.25571191126346,0.3066019515504969
