label,exp,tier,dist,problema,D,M,N,Nmin,obj,n_folhas,n_gps,folhas_sem_gp,n_nan,nan_share,mu_dist_nan,mu_dist_gp,pred_dist,casa_nan,dmax_nan,dmed_nan,casa_gp,dmed_gp,escala,tolabs,mu_dist_le_folhas_sem_gp
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,200,2,2,2,0,0,0.0,0,19988,2,,,,0.0,0.3579493761062622,2.993243932723999,1.4367570884132874e-06,True
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,220,0,3,1,2,12822,0.6411,2,7178,3,1.0,1.1179182246578989e-07,9.347688800787068e-08,0.0,1.8532446128312157,2.891812801361084,1.3880701317248167e-06,True
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,220,1,3,1,2,12822,0.6411,2,7178,3,1.0,2.9669867451787013e-08,8.40241698440991e-09,0.0,3.628789504022057,4.9115071296691895,2.3575232717121253e-06,True
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,300,0,2,2,0,0,0.0,0,20000,2,,,,0.0,0.12500064447958442,0.9994891285896301,4.797547603629937e-07,True
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,300,1,3,2,1,6461,0.32305,1,13523,3,1.0,1.088778178726102e-07,1.088778178726102e-07,0.0,0.32942663379973425,6.486356258392334,3.113450929959072e-06,True
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,100,0,2,2,0,0,0.0,0,20000,2,,,,0.0,0.12501677450307253,0.9991977214813232,4.796148687091772e-07,True
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,100,1,3,1,2,13350,0.6675,2,6645,3,1.0,6.0738869080978475e-06,6.0738869080978475e-06,0.0,8.25275206334382,259.6029968261719,0.00012460943253245205,True
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,120,0,3,3,0,0,0.0,0,19995,3,,,,0.0,0.32684970042836947,2.878926992416382,1.3818848856317345e-06,True
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,120,1,2,2,0,0,0.0,0,19990,2,,,,0.0,0.25436995102341226,2.545930862426758,1.2220467624501907e-06,True
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,120,2,2,2,0,0,0.0,0,19991,2,,,,0.0,0.22856348752975464,2.416848659515381,1.1600873222050723e-06,True
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,200,0,3,3,0,0,0.0,0,19996,3,,,,0.0,0.5290433189846906,3.0,1.4400000054592965e-06,True
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,200,1,2,2,0,0,0.0,0,20000,2,,,,0.0,0.40009307837260244,3.0,1.4400000054592965e-06,True
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,200,2,2,2,0,0,0.0,0,19987,2,,,,0.0,0.38316529989242554,3.0,1.4400000054592965e-06,True
