alg,problema,ger,log,lo_f32,lo_corrigido,hi,explicado,divergia
nsga2,BBOB_F37,3,5,5,5,5,True,False
nsga2,BBOB_F37,4,7,7,7,7,True,False
nsga2,BBOB_F37,5,11,11,11,11,True,False
nsga2,BBOB_F37,6,14,14,14,14,True,False
nsga2,BBOB_F37,7,18,18,18,18,True,False
nsga2,BBOB_F37,8,20,20,20,20,True,False
nsga2,BBOB_F37,9,13,13,13,13,True,False
nsga2,BBOB_F37,10,12,12,12,12,True,False
nsga2,BBOB_F37,11,14,14,14,14,True,False
nsga2,BBOB_F49,1,5,5,5,5,True,False
nsga2,BBOB_F49,2,7,7,7,7,True,False
nsga2,BBOB_F49,3,11,11,11,11,True,False
nsga2,BBOB_F49,4,12,12,12,12,True,False
nsga2,BBOB_F49,5,15,15,15,15,True,False
nsga2,BBOB_F49,6,13,13,13,13,True,False
nsga2,BBOB_F49,7,11,11,11,11,True,False
nsga2,BBOB_F49,8,10,10,10,10,True,False
nsga2,BBOB_F49,9,7,7,7,7,True,False
nsga2,BBOB_F49,10,7,7,7,7,True,False
nsga2,BBOB_F49,11,8,8,8,8,True,False
nsga2,BBOB_F5,1,7,7,7,7,True,False
nsga2,BBOB_F5,2,5,5,5,5,True,False
nsga2,BBOB_F5,3,4,4,4,4,True,False
nsga2,BBOB_F5,4,10,10,10,10,True,False
nsga2,BBOB_F5,5,10,10,10,10,True,False
nsga2,BBOB_F5,6,11,11,11,11,True,False
nsga2,BBOB_F5,7,13,13,13,13,True,False
nsga2,BBOB_F5,8,10,10,10,10,True,False
nsga2,BBOB_F5,9,12,12,12,12,True,False
nsga2,BBOB_F5,10,18,18,18,18,True,False
nsga2,BBOB_F5,11,20,20,20,20,True,False
nsga2,BBOB_F55,1,4,4,4,4,True,False
nsga2,BBOB_F55,2,5,5,5,5,True,False
nsga2,BBOB_F55,3,9,9,9,9,True,False
nsga2,BBOB_F55,4,9,9,9,9,True,False
nsga2,BBOB_F55,5,13,13,13,13,True,False
nsga2,BBOB_F55,6,8,8,8,8,True,False
nsga2,BBOB_F55,7,11,11,11,11,True,False
nsga2,BBOB_F55,8,9,9,9,9,True,False
nsga2,BBOB_F55,9,8,8,8,8,True,False
nsga2,BBOB_F55,10,11,11,11,11,True,False
nsga2,BBOB_F55,11,6,6,6,6,True,False
nsga2,DTLZ1,1,17,17,17,17,True,False
nsga2,DTLZ1,2,19,19,19,19,True,False
nsga2,DTLZ1,3,15,15,15,16,True,False
nsga2,DTLZ1,4,17,17,17,18,True,False
nsga2,DTLZ1,5,14,14,14,15,True,False
nsga2,DTLZ1,6,14,14,14,15,True,False
nsga2,DTLZ1,7,17,17,17,19,True,False
nsga2,DTLZ1,8,20,20,20,20,True,False
nsga2,DTLZ2,1,20,20,20,20,True,False
nsga2,DTLZ2,2,20,20,20,20,True,False
nsga2,DTLZ2,3,20,20,20,20,True,False
nsga2,DTLZ2,4,20,20,20,20,True,False
nsga2,DTLZ2,5,20,20,20,20,True,False
nsga2,DTLZ2,6,20,20,20,20,True,False
nsga2,DTLZ2,7,20,20,20,20,True,False
nsga2,DTLZ2,8,20,20,20,20,True,False
nsga2,DTLZ2,9,20,20,20,20,True,False
nsga2,DTLZ2,10,20,20,20,20,True,False
nsga2,DTLZ2,11,20,20,20,20,True,False
nsga2,DTLZ2,12,20,20,20,20,True,False
nsga2,DTLZ2,13,20,20,20,20,True,False
nsga2,DTLZ3,1,19,19,19,19,True,False
nsga2,DTLZ3,2,20,20,20,20,True,False
nsga2,DTLZ3,3,20,20,20,20,True,False
nsga2,DTLZ3,4,20,20,20,20,True,False
nsga2,DTLZ3,5,20,20,20,20,True,False
nsga2,DTLZ3,6,20,20,20,20,True,False
nsga2,DTLZ3,7,19,19,19,19,True,False
