config,exp,problema,q,t_total,t_fit,t_busca,t_aval,t_sonda,cobertura,frac_aval
b3,main,MMF11_L,1,14.559048,0.2955689928494394,4.03506800532341,0.024665000000000003,0.40586,0.3270242668458026,0.0016941354956725193
b3,main,MMF16_20,1,383.225547,222.8830704689026,95.54807013273239,0.21011000000000007,27.458461999999997,0.9031227571100184,0.0005482672062048099
b3,main,MMF4,1,15.067275,0.25568500347435474,4.282046914100647,0.024297999999999993,0.469232,0.333919830730839,0.0016126340031624824
b3,main,WFG1,1,585.804968,329.5271680355072,156.73693668842316,0.33894199999999997,36.416698999999994,0.892822311680925,0.0005785918838434978
b3,main,WFG2,1,540.779803,292.5325508117676,140.5999218225479,0.4470639999999993,28.246001,0.8539992342027527,0.0008267024720965758
b3,main,WFG4,1,521.060154,284.40853571891785,134.9936752319336,0.2839150000000002,27.549985,0.8583195385745259,0.0005448795073284383
b3,main,WFG5,1,480.388895,252.3395209312439,129.43718123435974,0.2870139999999999,26.437176,0.850354569844092,0.0005974617710511395
b3,main,WFG9,1,494.571894,266.00274872779846,134.9523719549179,1.3467040000000017,27.892295,0.8698313124981509,0.0027229691301463277
b3,main,ZDT1,1,2178.354922,1606.6535081863403,385.5322918891907,0.261528,79.02303299999998,0.9509333580836608,0.00012005757067350845
b3,main,ZDT3,1,2254.273409,1617.836401939392,429.4969503879547,0.27686500000000025,90.63115999999998,0.9485279686086858,0.00012281784405327218
b3,main,ZDT4,1,64.897342,9.703660935163498,24.47086402773857,0.091236,4.427729,0.5962261129724246,0.0014058511055814891
b3,main,ZDT6,1,66.035119,7.417750984430313,26.725170969963074,0.10461199999999997,3.8479069999999997,0.5768966806040494,0.0015841873473416467
b4,main,BBOB_F1,1,387.04283,352.711296916008,5.77969500166364,0.13741999999999985,9.692544999999997,0.9516284203421923,0.0003550511451148697
b4,main,BBOB_F17,1,382.549279,348.3142808675766,5.646187022561207,0.20588599999999987,9.689839999999995,0.9511354846655922,0.0005381947145167665
b4,main,BBOB_F22,1,381.322468,346.8352766633034,6.7791740053799,0.17502000000000006,9.475670000000003,0.9526455196148664,0.0004589816092347332
b4,main,BBOB_F37,1,380.547434,346.71231067180634,5.569592998363078,0.20053799999999983,9.762842999999995,0.951905734490301,0.0005269724141669021
b4,main,BBOB_F49,1,384.33733,349.8450325727463,5.7552469852380455,0.6546069999999998,9.625041999999999,0.9519760377114144,0.0017032095216980348
b4,main,BBOB_F5,1,386.176481,351.6653382778168,5.7441839936655015,0.15531199999999995,9.667211999999997,0.950943582375961,0.00040217881627027397
b4,main,BBOB_F55,1,382.861954,347.8054602742195,5.619355002650991,1.1733830000000003,9.543887999999999,0.9511054375407342,0.0030647678301302305
b4,main,DTLZ1,1,219.848599,191.95356971025467,4.537406999617815,0.10629,7.514951,0.9284217349498437,0.00048346908046477925
b4,main,DTLZ2,1,654.01407,583.0666207075119,34.80627420381643,0.16864699999999982,12.64802200000001,0.9643363848599287,0.0002578644829460624
b4,main,DTLZ3,1,562.25298,521.0230736732483,7.498196988366544,0.175877,11.558683999999996,0.9608767776768651,0.00031280759063295673
b4,main,DTLZ4,1,1045.109548,864.5036882162094,132.7513262561988,0.1737489999999999,15.681423,0.969381811132787,0.00016624955760140078
