label,exp,problema,D,M,n_dataset,tier,dist,modelo,obj,wape,corr,cobertura95,n_sigma_validas,n,dX_gabarito,sigma_med,sigma_max,mu_min,mu_max,f_min,f_max
ZDT6,off,ZDT6,10,2,309,small,lhs,RBFN,0,0.09413950977231611,0.4310285361743721,,0,20000,0.0,,,0.6520341038703918,1.0953023433685303,0.28077539088960835,1.0
ZDT6,off,ZDT6,10,2,309,small,lhs,RBFN,1,0.0036884772533939533,0.9927530201232136,,0,20000,0.0,,,7.037431716918945,9.703213691711426,6.440363196627685,9.50415115227434
swap_medium-lhs_DTLZ2,sweep-medium-lhs,DTLZ2,12,3,2000,medium,lhs,Kriging-DACE,0,0.06267756551011427,0.9928654541304095,0.9183,20000,20000,0.0,0.05922267213463783,0.13993577659130096,-0.19004641473293304,2.4753997325897217,3.836977908068911e-06,2.57959020506767
swap_medium-lhs_DTLZ2,sweep-medium-lhs,DTLZ2,12,3,2000,medium,lhs,Kriging-DACE,1,0.06382039663128457,0.9925079192684231,0.91995,20000,20000,0.0,0.06042132154107094,0.1427680402994156,-0.18291190266609192,2.3484561443328857,1.90431944785322e-05,2.5578628104646874
swap_medium-lhs_DTLZ2,sweep-medium-lhs,DTLZ2,12,3,2000,medium,lhs,Kriging-DACE,2,0.05769749141374456,0.98792885380887,0.9188,20000,20000,0.0,0.08513759076595306,0.16546730697155,-0.07283776253461838,2.4919590950012207,0.0001063285097157721,2.7334428509939714
swap_medium-lhs_DTLZ2,sweep-medium-lhs,DTLZ2,12,3,2000,medium,lhs,RBFN,0,0.20320396970080207,0.9347732626588634,,0,20000,0.0,,,-0.5209342241287231,2.4524850845336914,3.836977908068911e-06,2.57959020506767
swap_medium-lhs_DTLZ2,sweep-medium-lhs,DTLZ2,12,3,2000,medium,lhs,RBFN,1,0.19892981267497242,0.938060831157777,,0,20000,0.0,,,-0.43613144755363464,2.540297031402588,1.90431944785322e-05,2.5578628104646874
swap_medium-lhs_DTLZ2,sweep-medium-lhs,DTLZ2,12,3,2000,medium,lhs,RBFN,2,0.11592882316806812,0.9567713544255296,,0,20000,0.0,,,-0.04156741499900818,2.565277099609375,0.0001063285097157721,2.7334428509939714
swap_medium-lhs_MMF16_20,sweep-medium-lhs,MMF16_20,20,3,2000,medium,lhs,Kriging-DACE,0,0.24281955371727562,0.910009150056716,0.942,20000,20000,0.0,0.3189215660095215,0.32018303871154785,-0.716743528842926,2.860593795776367,1.2499579564734536e-06,2.9960476379098124
swap_medium-lhs_MMF16_20,sweep-medium-lhs,MMF16_20,20,3,2000,medium,lhs,Kriging-DACE,1,0.24595961132265254,0.9100796448524399,0.9553,20000,20000,0.0,0.3346436321735382,0.3359673023223877,-0.7595856189727783,2.971595525741577,5.75824836223127e-05,2.994481549561811
