problema,D,M,geracao,count,regime,desal,N,aceito,slot,n_cand,flag_copia,frac_n1,fbest_rel_max
BBOB_F49,10,2,278,31,produtivo,6,,1,0,1,False,0.93,
BBOB_F49,10,2,282,51,produtivo,16,,1,0,1,False,0.79,4.42803740107155e-08
BBOB_F5,10,2,2,0,no-op,88,,0,1,1,True,0.97,
BBOB_F5,10,2,6,0,no-op,90,,0,1,1,True,1.0,
BBOB_F5,10,2,10,0,no-op,90,,0,1,1,True,1.0,
BBOB_F5,10,2,14,0,no-op,90,,0,1,1,True,1.0,
BBOB_F5,10,2,18,0,no-op,90,,0,1,1,True,1.0,
BBOB_F5,10,2,22,0,no-op,90,,0,1,1,True,1.0,
BBOB_F5,10,2,26,0,no-op,90,,0,1,1,True,1.0,
BBOB_F5,10,2,30,0,no-op,90,,0,1,1,True,1.0,
BBOB_F5,10,2,34,0,no-op,89,,0,1,1,True,1.0,
BBOB_F5,10,2,38,0,no-op,87,,0,1,1,True,0.96,
