label,exp,tier,dist,problema,bloco,obj,D,M,N,I_eff,wape,corr,cobertura95,n_sigma_valido,nan_share,mu_min,mu_max,f_min,f_max,mae,mae_ref
ZDT4,off,small,lhs,ZDT4,0,0,10,2,309,4,9.189336983954382e-07,0.9999999999963026,1.0,20000,0.0,4.140354576520622e-06,0.999984085559845,3.6582350730895996e-06,0.9999888222664595,4.5946684876980723e-07,0.24999999990463256
ZDT4,off,small,lhs,ZDT4,0,1,10,2,309,4,0.15151961432443184,0.2072833897222063,0.9272180451127819,6650,0.6675,143.4829559326172,210.4713897705078,54.00701544605971,280.8549843394163,23.856264024046034,24.164553728863215
ZDT4,off,small,lhs,ZDT4,1,0,10,2,309,4,9.189336983954382e-07,0.9999999999963026,1.0,20000,0.0,4.140354576520622e-06,0.999984085559845,3.6582350730895996e-06,0.9999888222664595,4.5946684876980723e-07,0.24999999990463256
ZDT4,off,small,lhs,ZDT4,1,1,10,2,309,4,0.15151961432443184,0.2072833897222063,0.9272180451127819,6650,0.6675,143.4829559326172,210.4713897705078,54.00701544605971,280.8549843394163,23.856264024046034,24.164553728863215
ZDT6,off,small,lhs,ZDT6,0,0,10,2,309,4,0.08229731209277086,0.4767677737482594,0.921308440055547,6481,0.67595,0.620639443397522,1.0219974517822266,0.28077539088960835,1.0,0.07608171407845282,0.0935892469156683
ZDT6,off,small,lhs,ZDT6,0,1,10,2,309,4,0.016381418796144707,0.7862619939990861,0.8182482418485707,10949,0.45255,6.637848377227783,9.390806198120117,6.440363196627685,9.50415115227434,0.13822396370635107,0.30200187792360694
ZDT6,off,small,lhs,ZDT6,1,0,10,2,309,4,0.08229731209277086,0.4767677737482594,0.921308440055547,6481,0.67595,0.620639443397522,1.0219974517822266,0.28077539088960835,1.0,0.07608171407845282,0.0935892469156683
ZDT6,off,small,lhs,ZDT6,1,1,10,2,309,4,0.016381418796144707,0.7862619939990861,0.8182482418485707,10949,0.45255,6.637848377227783,9.390806198120117,6.440363196627685,9.50415115227434,0.13822396370635107,0.30200187792360694
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,0,0,12,3,50000,99,0.0791519236926697,0.9822098565861396,0.9312246553122465,6165,0.69175,-7.885319064371288e-05,1.9468623399734497,3.836977908068911e-06,2.57959020506767,0.05881104326602756,0.4688546706000642
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,0,1,12,3,50000,99,0.0802044561832754,0.9820325373017526,0.9361175305381314,6058,0.6971,-7.35717112547718e-05,2.145982027053833,1.90431944785322e-05,2.5578628104646874,0.05959078083615032,0.4688918820700543
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,0,2,12,3,50000,99,0.083619073430587,0.970719632703937,0.9387821556496255,3071,0.84645,0.0004002609639428556,2.0532326698303223,0.0001063285097157721,2.7334428509939714,0.09759574717982486,0.5020535753782746
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,1,0,12,3,50000,99,0.0791519236926697,0.9822098565861396,0.9312246553122465,6165,0.69175,-7.885319064371288e-05,1.9468623399734497,3.836977908068911e-06,2.57959020506767,0.05881104326602756,0.4688546706000642
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,1,1,12,3,50000,99,0.0802044561832754,0.9820325373017526,0.9361175305381314,6058,0.6971,-7.35717112547718e-05,2.145982027053833,1.90431944785322e-05,2.5578628104646874,0.05959078083615032,0.4688918820700543
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,1,2,12,3,50000,99,0.083619073430587,0.970719632703937,0.9387821556496255,3071,0.84645,0.0004002609639428556,2.0532326698303223,0.0001063285097157721,2.7334428509939714,0.09759574717982486,0.5020535753782746
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,0,0,20,3,50000,44,0.06407979464127621,0.9910889520641221,0.9792304328815041,4574,0.7713,-0.0001624125725356862,2.8252248764038086,1.2499579564734536e-06,2.9960476379098124,0.06874322280217825,0.6764999489712068
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,0,1,20,3,50000,44,0.0639318097191703,0.9912847191465243,0.9735866543095458,4316,0.7842,-0.0001629787147976458,2.8560266494750977,5.75824836223127e-05,2.994481549561811,0.06857390908831486,0.676109120990836
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,0,2,20,3,50000,44,0.028972026373812732,0.9966181354884134,0.9965588437715073,2906,0.8547,1.000071733869845e-05,2.9767820835113525,6.847906862721302e-06,2.9999346982543798,0.048820437717903016,0.7242873017647019
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,1,0,20,3,50000,44,0.06407979464127621,0.9910889520641221,0.9792304328815041,4574,0.7713,-0.0001624125725356862,2.8252248764038086,1.2499579564734536e-06,2.9960476379098124,0.06874322280217825,0.6764999489712068
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,1,1,20,3,50000,44,0.0639318097191703,0.9912847191465243,0.9735866543095458,4316,0.7842,-0.0001629787147976458,2.8560266494750977,5.75824836223127e-05,2.994481549561811,0.06857390908831486,0.676109120990836
