problema,geracao,aceito,range0,n_front_ev,n_sigma_val,hv_base,hv_gain,score_best,pos,is_argmax,dif_sig_score
BBOB_F22,71,1,False,100,100,0.9248635718400938,0.06537567743547823,0.990239249275572,40,True,3.485126665037086e-08
BBOB_F22,75,1,False,100,100,0.9248635718400938,0.017156184053517043,0.9420197558936109,50,True,3.220395872194359e-08
BBOB_F22,79,1,False,100,100,0.9287617006676315,0.04960670171797332,0.9783684023856049,83,True,3.961492767157182e-08
BBOB_F22,83,1,False,100,100,0.9287617006676315,0.04503875138474134,0.9738004520523729,14,True,3.961492767157182e-08
BBOB_F22,87,1,False,100,100,0.9287617006676315,0.07123829933236847,1.0,0,True,2.3620246869526795e-09
BBOB_F22,91,1,False,100,100,0.9287617006676315,0.07123829933236847,1.0,0,True,2.3620246869526795e-09
BBOB_F22,95,1,False,2,2,0.9287617006676315,0.07123829933236847,1.0,11,True,2.3620246869526795e-09
BBOB_F22,99,1,False,2,2,0.9287617006676315,0.07123829933236847,1.0,38,True,2.3620246869526795e-09
BBOB_F22,103,1,False,100,100,0.9287617006676315,0.07123829933236847,1.0,0,True,2.3620246869526795e-09
BBOB_F22,107,1,False,100,100,0.9287617006676315,0.07123829933236847,1.0,0,True,2.3620246869526795e-09
BBOB_F22,111,1,False,100,100,0.9287617006676315,0.07123829933236847,1.0,0,True,2.3620246869526795e-09
BBOB_F22,115,1,False,100,100,0.9287949794084556,0.07120502059154443,1.0,0,True,6.406777330880686e-10
BBOB_F22,119,1,False,100,100,0.929096942088756,0.07090305791124396,1.0,0,True,2.541389987342768e-09
BBOB_F22,123,1,False,1,1,0.9295738185213358,0.0704261814786642,1.0,69,True,5.199163322089362e-10
BBOB_F22,127,1,False,1,1,0.9325769493433261,0.06742305065667387,1.0,32,True,2.4291301192747028e-09
BBOB_F22,131,1,False,100,100,0.9325769493433261,0.06742305065667387,1.0,0,True,2.4291301192747028e-09
BBOB_F22,135,1,False,100,100,0.9316886858867193,0.06831131411328073,1.0,0,True,2.8087114856134576e-09
BBOB_F22,139,1,False,100,100,0.9316886858867193,0.06831131411328073,1.0,0,True,2.8087114856134576e-09
BBOB_F22,143,1,False,100,100,0.9400892481929445,0.05991075180705552,1.0,0,True,7.215972264162929e-11
BBOB_F22,147,1,False,100,100,0.9473237162451676,0.052676283754832354,1.0,19,True,3.632115641583056e-08
BBOB_F22,151,1,False,100,100,0.9498388617181058,0.05016113828189417,1.0,0,True,1.0497613889270951e-10
BBOB_F22,155,1,False,100,100,0.9498388617181058,0.05016113828189417,1.0,0,True,1.0497613889270951e-10
BBOB_F22,159,1,False,100,100,0.8909074815132016,0.10909251848679835,1.0,0,True,2.0044987891765231e-10
BBOB_F22,163,1,False,100,100,0.891546368159543,0.0,0.891546368159543,83,True,3.0241717352552655e-08
