ger,n_sub,slots_mudou,novos,p_min,p_med,p_max,n_chamadas,n_nan,flag
286,34,30,29,0.0,0.03747575,0.712339,50,0,
287,22,14,14,0.0,0.0533345,0.619309,50,0,
288,17,12,12,0.0,0.0672035,0.562679,50,0,
289,30,18,18,0.0,0.045264,0.673227,50,0,
290,17,15,15,0.0,0.05860375,0.654745,50,0,
291,12,10,10,0.0,0.031313,0.541324,50,0,
292,45,31,31,0.0,0.05434775,0.978976,50,0,
293,34,24,24,0.0,0.058292000000000004,0.741898,50,0,
294,24,17,17,0.0,0.04319875,0.607495,50,0,
295,13,10,10,0.0,0.048427750000000006,0.543491,50,0,
296,12,11,11,0.0,0.0564205,0.672106,50,0,
297,8,8,8,0.0,0.0484855,0.602956,50,0,
298,6,5,5,0.0,0.04242025,0.522099,50,0,
299,10,10,9,0.0,0.06006075,0.58619,50,0,
300,8,7,7,0.0,0.03382175,0.519653,50,0,
301,11,10,10,0.0,0.042382750000000004,0.587409,50,0,
302,13,11,11,0.0,0.06620875,0.695928,50,0,
303,10,9,9,0.0,0.07477600000000001,0.579447,50,0,
304,16,12,12,0.0,0.0525705,0.883607,50,0,
305,5,5,5,0.0,0.03442675,0.510355,50,0,
306,3,3,3,0.0,0.052409,0.520355,50,0,
307,17,12,12,0.0,0.041908,0.586501,50,0,
308,8,7,7,0.0,0.061543499999999994,0.602889,50,0,
309,12,9,9,0.0,0.050564750000000006,0.519508,50,0,
310,4,4,4,0.0,0.04971275,0.517539,50,0,
311,13,12,12,0.0,0.046829499999999996,0.522373,50,0,
312,12,11,11,0.0,0.044383000000000006,0.555612,50,0,
313,6,6,6,0.0,0.05020575,0.506595,50,0,
314,9,9,9,0.0,0.0468035,0.702716,50,0,
315,14,14,14,0.0,0.04628575,0.699103,50,0,
316,8,8,8,0.0,0.0422585,0.525399,50,0,
317,9,9,9,0.0,0.0580645,0.554682,50,0,
318,16,12,12,0.0,0.04431025,0.550748,50,0,
319,13,11,11,0.0,0.049034999999999995,0.575788,50,0,
320,8,8,8,0.0,0.05119125,0.539905,50,0,
321,16,16,16,0.0,0.0454175,0.527652,50,0,
322,9,7,7,0.0,0.04182975,0.549277,50,0,
323,26,16,16,0.0,0.04630175,0.548588,50,0,
324,12,12,12,0.0,0.04103325000000001,0.611198,50,0,
325,11,10,10,0.0,0.04314975,0.546443,50,0,
326,16,16,16,0.0,0.0338185,0.661985,50,0,
327,18,14,14,0.0,0.027704,0.527264,50,0,
328,12,10,10,0.0,0.05019225,0.854279,50,0,
329,18,13,13,0.0,0.04134275,0.558221,50,0,
330,13,12,12,0.0,0.046110250000000005,0.874298,50,0,
331,10,9,9,0.0,0.036583000000000004,0.544384,50,0,
332,15,11,11,0.0,0.0295135,0.622842,50,0,
333,18,11,11,0.0,0.02842925,0.54251,50,0,
334,9,8,8,0.0,0.06108975,0.58302,50,0,
