alg,label,problema,tier,dist,n7,n7_nd,fantasia,igdp7,hv7,igdp7nd,hv7nd
b5r,swap_medium-mvns_WFG9,WFG9,medium,mvns,42,13,0.30952380952380953,0.2625032135776761,0.0693610260900804,0.2625032135776761,0.0693610260900804
b5r,swap_medium-mvns_ZDT1,ZDT1,medium,mvns,47,8,0.1702127659574468,0.21803491960822463,0.47981514406340764,0.21803491960822463,0.47981514406340764
b5r,swap_medium-mvns_ZDT4,ZDT4,medium,mvns,15,3,0.2,55.58420016276929,0.0,55.58420016276929,0.0
b5r,swap_small-lhs_DTLZ2,DTLZ2,small,lhs,83,71,0.8554216867469879,0.04752875427966714,0.6819048147415581,0.04752875427966714,0.6819048147415581
b5r,swap_small-lhs_MMF16_20,MMF16_20,small,lhs,74,56,0.7567567567567568,0.11438205277423279,0.47777123451869935,0.11438205277423279,0.47777123451869935
b5r,swap_small-lhs_WFG9,WFG9,small,lhs,45,15,0.3333333333333333,0.3814484131886394,0.025384060795035777,0.3814484131886394,0.025384060795035777
b5r,swap_small-lhs_ZDT1,ZDT1,small,lhs,47,18,0.3829787234042553,0.31492971084996063,0.35501325643722004,0.31492971084996063,0.35501325643722004
b5r,swap_small-lhs_ZDT4,ZDT4,small,lhs,12,4,0.3333333333333333,127.25029176693059,0.0,127.25029176693059,0.0
b5r,swap_small-mvns_DTLZ2,DTLZ2,small,mvns,78,59,0.7564102564102564,0.18412558966187423,0.3546570315481469,0.18412558966187423,0.3546570315481469
b5r,swap_small-mvns_MMF16_20,MMF16_20,small,mvns,86,44,0.5116279069767442,0.2298629132323189,0.3586397141246891,0.2298629132323189,0.3586397141246891
b5r,swap_small-mvns_WFG9,WFG9,small,mvns,46,17,0.3695652173913043,0.33174433506087336,0.0349518116320545,0.33174433506087336,0.0349518116320545
b5r,swap_small-mvns_ZDT1,ZDT1,small,mvns,47,7,0.14893617021276595,0.2866788829404834,0.40933541047407784,0.2866788829404834,0.40933541047407784
b5r,swap_small-mvns_ZDT4,ZDT4,small,mvns,8,4,0.5,149.83316582803292,0.0,149.83316582803292,0.0
b5m,BBOB_F1,BBOB_F1,main,lhs,50,27,0.54,0.08709293582915997,0.8757733791872327,0.08709293582915997,0.8757733791872327
b5m,BBOB_F17,BBOB_F17,main,lhs,50,7,0.14,0.4867828447730065,0.39335880374667254,0.4867828447730065,0.39335880374667254
b5m,BBOB_F22,BBOB_F22,main,lhs,50,22,0.44,0.7521703519166867,0.1322645038398847,0.7521703519166867,0.1322645038398847
